pop_size,ft06,ft06r,ft10,ft10r,ft20,ft20r,tai_j10_m10_1,tai_j10_m10_1r,GAP_promedio
50,0.189,0.134,0.33,0.615,0.237,0.354,0.531,0.536,0.366
100,0.189,0.134,0.33,0.616,0.26,0.339,0.46,0.611,0.367
200,0.189,0.134,0.33,0.615,0.221,0.331,0.46,0.536,0.352
