max_gen_no_improve,ft06,ft06r,ft10,ft10r,ft20,ft20r,tai_j10_m10_1,tai_j10_m10_1r,GAP_promedio
50,0.189,0.134,0.33,0.616,0.26,0.344,0.46,0.611,0.368
150,0.189,0.134,0.33,0.616,0.26,0.339,0.46,0.611,0.367
300,0.189,0.134,0.33,0.616,0.218,0.339,0.46,0.611,0.362
